dataset,eval_model,model,score,attack,adv_a_position,removal,adv_per_query,success_injection_rate,inference_time,correct_answer_pct,incorrect_answer_pct,false_removal_rate,success_removal_rate
,,,,,,,,,,,,,
hotpotqa,contriever,meta,dot,none,start,all,3,0.00%,21.34,49.00%,2.00%,,
hotpotqa,contriever,meta,dot,hotflip,start,drift,3,0.01%,33.26,68.00%,7.00%,0.09%,0.98%
hotpotqa,contriever,meta,dot,hotflip,end,drift,3,0.03%,29.84,68.00%,8.00%,0.13%,0.95%
hotpotqa,contriever,meta,cos,hotflip,start,drift,3,0.32%,16.68,34.00%,55.00%,0.30%,0.47%
hotpotqa,contriever,meta,cos,hotflip,end,drift,3,0.48%,44.10,22.00%,67.00%,0.32%,0.20%
hotpotqa,contriever,meta,dot,hotflip,start,kmeans_ngram,3,,,,,,
hotpotqa,contriever,meta,dot,hotflip,end,kmeans_ngram,3,,,,,,
hotpotqa,contriever,meta,cos,hotflip,start,kmeans_ngram,3,0.00%,10.10,60.00%,7.00%,0.41%,1.00%
hotpotqa,contriever,meta,cos,hotflip,end,kmeans_ngram,3,0.00%,11.21,61.00%,8.00%,0.42%,0.99%
hotpotqa,contriever,meta,dot,hotflip,start,none,3,0.60%,5.20,28.00%,68.00%,,
hotpotqa,contriever,meta,dot,hotflip,end,none,3,0.60%,5.43,30.00%,66.00%,,
hotpotqa,contriever,meta,cos,hotflip,start,none,3,0.60%,4.38,24.00%,76.00%,,
hotpotqa,contriever,meta,cos,hotflip,end,none,3,0.60%,4.42,28.00%,70.00%,,
hotpotqa,contriever,meta,dot,none,end,none,3,0.00%,6.91,72.00%,3.00%,,
hotpotqa,contriever,meta,dot,none,start,none,3,0.00%,6.58,72.00%,3.00%,,
hotpotqa,contriever,meta,cos,none,start,none,3,0.00%,22.28,67.00%,8.00%,,
hotpotqa,contriever,meta,dot,none,start,drift,3,0.00%,22.53,69.00%,3.00%,0.08%,1.00%
hotpotqa,contriever,meta,dot,none,end,drift,3,0.00%,23.43,69.00%,3.00%,0.08%,1.00%
hotpotqa,contriever,meta,cos,none,start,drift,3,0.00%,34.70,64.00%,4.00%,0.32%,1.00%
hotpotqa,contriever,meta,cos,none,end,drift,3,0.00%,22.26,67.00%,8.00%,0.00%,1.00%
hotpotqa,contriever,meta,dot,none,start,kmeans_ngram,3,0.00%,12.45,70.00%,3.00%,0.18%,1.00%
hotpotqa,contriever,meta,dot,none,end,kmeans_ngram,3,0.00%,12.25,70.00%,3.00%,0.18%,1.00%
hotpotqa,contriever,meta,cos,none,start,kmeans_ngram,3,0.00%,25.95,61.00%,9.00%,0.33%,1.00%
hotpotqa,contriever,meta,cos,none,end,kmeans_ngram,3,0.00%,22.30,67.00%,8.00%,0.00%,1.00%
hotpotqa,contriever,meta,dot,none,start,drift,5,0.00%,22.48,69.00%,3.00%,0.08%,1.00%
hotpotqa,contriever,meta,dot,none,end,drift,5,0.00%,22.15,69.00%,3.00%,0.08%,1.00%
hotpotqa,contriever,meta,dot,none,start,kmeans_ngram,5,0.00%,12.21,70.00%,3.00%,0.18%,1.00%
hotpotqa,contriever,meta,dot,none,end,kmeans_ngram,5,0.00%,12.14,70.00%,3.00%,0.18%,1.00%
hotpotqa,contriever,meta,dot,hotflip,start,drift,5,0.03%,36.93,63.00%,10.00%,0.09%,0.97%
hotpotqa,contriever,meta,dot,hotflip,end,drift,5,0.05%,34.75,64.00%,12.00%,0.17%,0.95%
hotpotqa,contriever,meta,dot,hotflip,start,kmeans_ngram,5,0.01%,38.43,66.00%,6.00%,0.23%,0.99%
hotpotqa,contriever,meta,dot,hotflip,end,kmeans_ngram,5,0.00%,34.08,65.00%,6.00%,0.22%,1.00%
hotpotqa,contriever,meta,dot,none,start,drift,1,0.00%,21.70,69.00%,3.00%,0.08%,1.00%
hotpotqa,contriever,meta,dot,none,end,drift,1,0.00%,20.82,69.00%,3.00%,0.08%,1.00%
hotpotqa,contriever,meta,dot,none,start,kmeans_ngram,1,0.00%,12.11,70.00%,3.00%,0.18%,1.00%
hotpotqa,contriever,meta,dot,none,end,kmeans_ngram,1,0.00%,12.50,70.00%,3.00%,0.18%,1.00%
hotpotqa,contriever,meta,dot,hotflip,start,drift,1,0.00%,25.29,69.00%,5.00%,0.08%,0.98%
hotpotqa,contriever,meta,dot,hotflip,end,drift,1,0.01%,27.94,67.00%,5.00%,0.10%,0.97%
hotpotqa,contriever,meta,dot,hotflip,start,kmeans_ngram,1,0.19%,13.54,35.00%,61.00%,0.19%,0.05%
hotpotqa,contriever,meta,dot,hotflip,end,kmeans_ngram,1,0.19%,13.42,44.00%,50.00%,0.19%,0.04%
hotpotqa,contriever,meta,cos,none,start,drift,1,0.00%,36.04,64.00%,4.00%,0.32%,1.00%
hotpotqa,contriever,meta,cos,none,end,drift,1,0.00%,34.87,64.00%,4.00%,0.32%,1.00%
hotpotqa,contriever,meta,cos,none,start,kmeans_ngram,1,0.00%,27.40,62.00%,8.00%,0.33%,1.00%
hotpotqa,contriever,meta,cos,hotflip,start,drift,1,0.11%,17.97,51.00%,38.00%,0.31%,0.45%
hotpotqa,contriever,meta,cos,none,end,kmeans_ngram,1,0.00%,26.06,61.00%,9.00%,0.33%,1.00%
hotpotqa,contriever,meta,cos,hotflip,end,drift,1,0.16%,19.92,35.00%,55.00%,0.32%,0.19%
hotpotqa,contriever,meta,cos,hotflip,start,kmeans_ngram,1,0.18%,9.18,31.00%,60.00%,0.35%,0.09%
hotpotqa,contriever,meta,cos,hotflip,end,kmeans_ngram,1,0.17%,10.73,35.00%,56.00%,0.35%,0.13%
nq,contriever,mistralai/Mistral,dot,none,start,all,3,0.00%,2.43,65.00%,2.00%,,
nq,contriever,mistralai/Mistral,dot,hotflip,start,drift,3,0.01%,39.31,66.00%,2.00%,0.06%,0.98%
nq,contriever,mistralai/Mistral,dot,hotflip,end,drift,3,0.03%,41.27,69.00%,4.00%,0.11%,0.95%
nq,contriever,mistralai/Mistral,cos,hotflip,start,drift,3,0.16%,24.54,37.00%,40.00%,0.33%,0.73%
nq,contriever,mistralai/Mistral,cos,hotflip,end,drift,3,0.40%,26.49,23.00%,63.00%,0.38%,0.32%
nq,contriever,mistralai/Mistral,dot,hotflip,start,kmeans_ngram,3,0.06%,17.90,61.00%,6.00%,0.12%,0.90%
nq,contriever,mistralai/Mistral,dot,hotflip,end,kmeans_ngram,3,,,,,,
nq,contriever,mistralai/Mistral,cos,hotflip,start,kmeans_ngram,3,0.01%,9.64,66.00%,7.00%,0.24%,0.98%
nq,contriever,mistralai/Mistral,cos,hotflip,end,kmeans_ngram,3,0.00%,12.75,70.00%,2.00%,0.23%,0.99%
nq,contriever,mistralai/Mistral,dot,hotflip,start,none,3,0.60%,7.62,21.00%,73.00%,,
nq,contriever,mistralai/Mistral,dot,hotflip,end,none,3,0.60%,7.22,22.00%,73.00%,,
nq,contriever,mistralai/Mistral,cos,hotflip,start,none,3,0.58%,4.24,13.00%,80.00%,,
nq,contriever,mistralai/Mistral,cos,hotflip,end,none,3,0.60%,4.75,13.00%,82.00%,,
nq,contriever,mistralai/Mistral,dot,none,start,none,3,0.00%,10.70,69.00%,1.00%,,
nq,contriever,mistralai/Mistral,cos,none,start,none,3,0.00%,4.40,69.00%,0.00%,,
nq,contriever,mistralai/Mistral,dot,none,end,none,3,0.00%,9.62,69.00%,1.00%,,
nq,contriever,mistralai/Mistral,cos,none,end,none,3,0.00%,4.50,69.00%,0.00%,,
nq,contriever,mistralai/Mistral,dot,none,start,drift,3,0.00%,27.26,69.00%,1.00%,0.07%,1.00%
nq,contriever,mistralai/Mistral,dot,none,end,drift,3,0.00%,25.47,69.00%,1.00%,0.07%,1.00%
nq,contriever,mistralai/Mistral,cos,none,start,drift,3,0.00%,16.74,68.00%,1.00%,0.38%,1.00%
nq,contriever,mistralai/Mistral,cos,none,end,drift,3,0.00%,16.54,68.00%,1.00%,0.38%,1.00%
nq,contriever,mistralai/Mistral,dot,none,end,kmeans_ngram,3,0.00%,15.79,65.00%,1.00%,0.10%,1.00%
nq,contriever,mistralai/Mistral,dot,none,start,kmeans_ngram,3,0.00%,16.46,65.00%,1.00%,0.10%,1.00%
nq,contriever,mistralai/Mistral,cos,none,start,kmeans_ngram,3,0.00%,8.76,72.00%,0.00%,0.20%,1.00%
nq,contriever,mistralai/Mistral,cos,none,end,kmeans_ngram,3,0.00%,8.78,72.00%,0.00%,0.20%,1.00%
nq,contriever,mistralai/Mistral,dot,none,start,kmeans_ngram,5,0.00%,16.62,65.00%,1.00%,0.10%,1.00%
nq,contriever,mistralai/Mistral,dot,none,end,drift,5,0.00%,27.32,69.00%,1.00%,0.07%,1.00%
nq,contriever,mistralai/Mistral,dot,none,start,drift,5,0.00%,28.68,69.00%,1.00%,0.07%,1.00%
